# i, j, num-i, num-j, Delta-num-carbons
6, 4, 7, 5, 2
6, 5, 7, 6, 1
6, 6, 7, 7, 0
7, 0, 8, 1, 7
7, 1, 8, 2, 6
7, 2, 8, 3, 5
7, 3, 8, 4, 4
7, 4, 8, 5, 3
7, 5, 8, 6, 2
7, 6, 8, 7, 1
7, 7, 8, 8, 0
8, 0, 9, 1, 8
8, 1, 9, 2, 7
8, 2, 9, 3, 6
8, 3, 9, 4, 5
8, 4, 9, 5, 4
8, 5, 9, 6, 3
8, 6, 9, 7, 2
8, 7, 9, 8, 1
8, 8, 9, 9, 0
9, 0, 10, 1, 9
9, 1, 10, 2, 8
9, 2, 10, 3, 7
9, 3, 10, 4, 6
9, 4, 10, 5, 5
9, 5, 10, 6, 4
9, 6, 10, 7, 3
9, 7, 10, 8, 2
9, 8, 10, 9, 1
9, 9, 10, 10, 0
10, 0, 4, 1, 3
10, 1, 4, 2, 2
10, 2, 4, 3, 1
10, 3, 4, 4, 0
10, 4, 4, 5, 1
10, 5, 4, 6, 2
10, 6, 4, 7, 3
10, 7, 4, 8, 4
10, 8, 4, 9, 5
10, 9, 4, 10, 6
10, 10, 4, 4, 0
11, 0, 5, 1, 4
11, 1, 5, 2, 3
11, 2, 5, 3, 2
11, 3, 5, 4, 1
11, 4, 5, 5, 0
11, 5, 5, 6, 1
11, 6, 5, 7, 2
11, 7, 5, 8, 3
11, 8, 5, 9, 4
11, 9, 5, 10, 5
11, 10, 5, 4, 1
11, 11, 5, 5, 0
12, 0, 6, 1, 5
12, 1, 6, 2, 4
12, 2, 6, 3, 3
12, 3, 6, 4, 2
12, 4, 6, 5, 1
12, 5, 6, 6, 0
12, 6, 6, 7, 1
12, 7, 6, 8, 2
12, 8, 6, 9, 3
12, 9, 6, 10, 4
12, 10, 6, 4, 2
12, 11, 6, 5, 1
12, 12, 6, 6, 0
13, 0, 7, 1, 6
13, 1, 7, 2, 5
13, 2, 7, 3, 4
13, 3, 7, 4, 3
13, 4, 7, 5, 2
13, 5, 7, 6, 1
13, 6, 7, 7, 0
13, 7, 7, 8, 1
13, 8, 7, 9, 2
13, 9, 7, 10, 3
13, 10, 7, 4, 3
13, 11, 7, 5, 2
13, 12, 7, 6, 1
13, 13, 7, 7, 0
14, 0, 8, 1, 7
14, 1, 8, 2, 6
14, 2, 8, 3, 5
14, 3, 8, 4, 4
14, 4, 8, 5, 3
14, 5, 8, 6, 2
14, 6, 8, 7, 1
14, 7, 8, 8, 0
14, 8, 8, 9, 1
14, 9, 8, 10, 2
14, 10, 8, 4, 4
14, 11, 8, 5, 3
14, 12, 8, 6, 2
14, 13, 8, 7, 1
14, 14, 8, 8, 0
15, 0, 9, 1, 8
15, 1, 9, 2, 7
15, 2, 9, 3, 6
15, 3, 9, 4, 5
15, 4, 9, 5, 4
15, 5, 9, 6, 3
15, 6, 9, 7, 2
15, 7, 9, 8, 1
15, 8, 9, 9, 0
15, 9, 9, 10, 1
15, 10, 9, 4, 5
15, 11, 9, 5, 4
15, 12, 9, 6, 3
15, 13, 9, 7, 2
15, 14, 9, 8, 1
15, 15, 9, 9, 0
16, 0, 10, 1, 9
16, 1, 10, 2, 8
16, 2, 10, 3, 7
16, 3, 10, 4, 6
16, 4, 10, 5, 5
16, 5, 10, 6, 4
16, 6, 10, 7, 3
16, 7, 10, 8, 2
16, 8, 10, 9, 1
16, 9, 10, 10, 0
16, 10, 10, 4, 6
16, 11, 10, 5, 5
16, 12, 10, 6, 4
16, 13, 10, 7, 3
16, 14, 10, 8, 2
16, 15, 10, 9, 1
16, 16, 10, 10, 0
17, 0, 6, 1, 5
17, 1, 6, 2, 4
17, 2, 6, 3, 3
17, 3, 6, 4, 2
17, 4, 6, 5, 1
17, 5, 6, 6, 0
17, 6, 6, 7, 1
17, 7, 6, 8, 2
17, 8, 6, 9, 3
17, 9, 6, 10, 4
17, 10, 6, 4, 2
17, 11, 6, 5, 1
17, 12, 6, 6, 0
17, 13, 6, 7, 1
17, 14, 6, 8, 2
17, 15, 6, 9, 3
17, 16, 6, 10, 4
17, 17, 6, 6, 0
18, 0, 7, 1, 6
18, 1, 7, 2, 5
18, 2, 7, 3, 4
18, 3, 7, 4, 3
18, 4, 7, 5, 2
18, 5, 7, 6, 1
18, 6, 7, 7, 0
18, 7, 7, 8, 1
18, 8, 7, 9, 2
18, 9, 7, 10, 3
18, 10, 7, 4, 3
18, 11, 7, 5, 2
18, 12, 7, 6, 1
18, 13, 7, 7, 0
18, 14, 7, 8, 1
18, 15, 7, 9, 2
18, 16, 7, 10, 3
18, 17, 7, 6, 1
18, 18, 7, 7, 0
19, 0, 8, 1, 7
19, 1, 8, 2, 6
19, 2, 8, 3, 5
19, 3, 8, 4, 4
19, 4, 8, 5, 3
19, 5, 8, 6, 2
19, 6, 8, 7, 1
19, 7, 8, 8, 0
19, 8, 8, 9, 1
19, 9, 8, 10, 2
19, 10, 8, 4, 4
19, 11, 8, 5, 3
19, 12, 8, 6, 2
19, 13, 8, 7, 1
19, 14, 8, 8, 0
19, 15, 8, 9, 1
19, 16, 8, 10, 2
19, 17, 8, 6, 2
19, 18, 8, 7, 1
19, 19, 8, 8, 0
20, 0, 9, 1, 8
20, 1, 9, 2, 7
20, 2, 9, 3, 6
20, 3, 9, 4, 5
20, 4, 9, 5, 4
20, 5, 9, 6, 3
20, 6, 9, 7, 2
20, 7, 9, 8, 1
20, 8, 9, 9, 0
20, 9, 9, 10, 1
20, 10, 9, 4, 5
20, 11, 9, 5, 4
20, 12, 9, 6, 3
20, 13, 9, 7, 2
20, 14, 9, 8, 1
20, 15, 9, 9, 0
20, 16, 9, 10, 1
20, 17, 9, 6, 3
20, 18, 9, 7, 2
20, 19, 9, 8, 1
20, 20, 9, 9, 0
21, 0, 8, 1, 7
21, 1, 8, 2, 6
21, 2, 8, 3, 5
21, 3, 8, 4, 4
21, 4, 8, 5, 3
21, 5, 8, 6, 2
21, 6, 8, 7, 1
21, 7, 8, 8, 0
21, 8, 8, 9, 1
21, 9, 8, 10, 2
21, 10, 8, 4, 4
21, 11, 8, 5, 3
21, 12, 8, 6, 2
21, 13, 8, 7, 1
21, 14, 8, 8, 0
21, 15, 8, 9, 1
21, 16, 8, 10, 2
21, 17, 8, 6, 2
21, 18, 8, 7, 1
21, 19, 8, 8, 0
21, 20, 8, 9, 1
21, 21, 8, 8, 0
22, 0, 9, 1, 8
22, 1, 9, 2, 7
22, 2, 9, 3, 6
22, 3, 9, 4, 5
22, 4, 9, 5, 4
22, 5, 9, 6, 3
22, 6, 9, 7, 2
22, 7, 9, 8, 1
22, 8, 9, 9, 0
22, 9, 9, 10, 1
22, 10, 9, 4, 5
22, 11, 9, 5, 4
22, 12, 9, 6, 3
22, 13, 9, 7, 2
22, 14, 9, 8, 1
22, 15, 9, 9, 0
22, 16, 9, 10, 1
22, 17, 9, 6, 3
22, 18, 9, 7, 2
22, 19, 9, 8, 1
22, 20, 9, 9, 0
22, 21, 9, 8, 1
22, 22, 9, 9, 0
23, 0, 5, 1, 4
23, 1, 5, 2, 3
23, 2, 5, 3, 2
23, 3, 5, 4, 1
23, 4, 5, 5, 0
23, 5, 5, 6, 1
23, 6, 5, 7, 2
23, 7, 5, 8, 3
23, 8, 5, 9, 4
23, 9, 5, 10, 5
23, 10, 5, 4, 1
23, 11, 5, 5, 0
23, 12, 5, 6, 1
23, 13, 5, 7, 2
23, 14, 5, 8, 3
23, 15, 5, 9, 4
23, 16, 5, 10, 5
23, 17, 5, 6, 1
23, 18, 5, 7, 2
23, 19, 5, 8, 3
23, 20, 5, 9, 4
23, 21, 5, 8, 3
23, 22, 5, 9, 4
23, 23, 5, 5, 0
24, 0, 6, 1, 5
24, 1, 6, 2, 4
24, 2, 6, 3, 3
24, 3, 6, 4, 2
