# primitive_MRO = (<class 'qiskit.primitives.statevector_sampler.StatevectorSampler'>, <class 'qiskit.primitives.base.base_sampler.BaseSamplerV2'>, <class 'abc.ABC'>, <class 'object'>)
# num_shots = 10000
# encoding_layer_config = {'n_layers': 1, 'initial_layer': 'ry', 'entangling_layer': 'ryy', 'n_atom_to_qubit': 1, 'interleaved': None}
# noise_model_path = ../data/backends/fez_2024_12_22.noise_model.pkl
# backend_path = ../data/backends/fez_2024_12_22.backend_image.pkl
# sampler_type = statevector
# i, j, expectation-value
22, 19, 0.0337
22, 20, 0.0111
22, 21, 0.3006
22, 22, 1.0
23, 0, 0.0
23, 1, 0.0
23, 2, 0.0002
23, 3, 0.0
23, 4, 0.0002
23, 5, 0.0
23, 6, 0.0001
23, 7, 0.0
23, 8, 0.0002
23, 9, 0.0
23, 10, 0.0
23, 11, 0.0001
23, 12, 0.0005
23, 13, 0.0005
23, 14, 0.0012
23, 15, 0.004
23, 16, 0.0011
23, 17, 0.0037
23, 18, 0.0036
23, 19, 0.0094
23, 20, 0.0362
23, 21, 0.1235
23, 22, 0.2952
23, 23, 1.0
24, 0, 0.0001
24, 1, 0.0
24, 2, 0.0002
24, 3, 0.0
24, 4, 0.0
24, 5, 0.0
24, 6, 0.0
24, 7, 0.0
24, 8, 0.0001
24, 9, 0.0
24, 10, 0.0
24, 11, 0.0
24, 12, 0.0
24, 13, 0.0
24, 14, 0.0
24, 15, 0.0
24, 16, 0.0002
24, 17, 0.0071
24, 18, 0.0065
24, 19, 0.02
24, 20, 0.0667
24, 21, 0.0045
24, 22, 0.0106
24, 23, 0.0353
24, 24, 1.0
25, 0, 0.0977
25, 1, 0.2296
25, 2, 0.3034
25, 3, 0.1977
25, 4, 0.061
25, 5, 0.0242
25, 6, 0.0194
25, 7, 0.0079
25, 8, 0.0014
25, 9, 0.059
25, 10, 0.1143
25, 11, 0.0353
25, 12, 0.0128
25, 13, 0.0107
25, 14, 0.0027
25, 15, 0.0008
25, 16, 0.0001
25, 17, 0.0
25, 18, 0.0
25, 19, 0.0
25, 20, 0.0
25, 21, 0.0
25, 22, 0.0
25, 23, 0.0002
25, 24, 0.0
25, 25, 1.0
26, 0, 0.0384
26, 1, 0.0733
26, 2, 0.111
26, 3, 0.0593
26, 4, 0.1949
26, 5, 0.0538
26, 6, 0.0198
26, 7, 0.0177
26, 8, 0.0066
26, 9, 0.0206
26, 10, 0.0352
26, 11, 0.1199
26, 12, 0.034
26, 13, 0.0126
26, 14, 0.0117
26, 15, 0.0043
26, 16, 0.0002
26, 17, 0.0002
26, 18, 0.0
26, 19, 0.0
26, 20, 0.0
26, 21, 0.0004
26, 22, 0.0
26, 23, 0.0
26, 24, 0.0
26, 25, 0.2945
26, 26, 1.0
27, 0, 0.0088
27, 1, 0.0206
27, 2, 0.0966
27, 3, 0.0163
27, 4, 0.0546
27, 5, 0.1885
27, 6, 0.0538
27, 7, 0.0198
27, 8, 0.0178
27, 9, 0.0183
27, 10, 0.0141
27, 11, 0.0338
27, 12, 0.1191
27, 13, 0.0356
27, 14, 0.0148
27, 15, 0.0095
27, 16, 0.0002
27, 17, 0.0008
27, 18, 0.0002
27, 19, 0.0
27, 20, 0.0
27, 21, 0.0
27, 22, 0.0
27, 23, 0.0001
27, 24, 0.0
27, 25, 0.1138
27, 26, 0.2998
27, 27, 1.0
28, 0, 0.2023
28, 1, 0.2202
28, 2, 0.0553
28, 3, 0.1145
28, 4, 0.0351
28, 5, 0.0133
28, 6, 0.0125
28, 7, 0.0045
28, 8, 0.0014
28, 9, 0.3053
28, 10, 0.1782
28, 11, 0.0537
28, 12, 0.0201
28, 13, 0.0165
28, 14, 0.0057
28, 15, 0.0014
28, 16, 0.0032
28, 17, 0.0031
28, 18, 0.0006
28, 19, 0.0002
28, 20, 0.0
28, 21, 0.001
28, 22, 0.0003
28, 23, 0.0002
28, 24, 0.0003
28, 25, 0.2634
28, 26, 0.0761
28, 27, 0.0299
28, 28, 1.0
29, 0, 0.061
29, 1, 0.0655
29, 2, 0.0218
29, 3, 0.0354
29, 4, 0.1098
29, 5, 0.0338
29, 6, 0.0122
29, 7, 0.0088
29, 8, 0.0039
29, 9, 0.1149
29, 10, 0.0583
29, 11, 0.1856
29, 12, 0.0577
29, 13, 0.0223
29, 14, 0.0207
29, 15, 0.0074
29, 16, 0.0059
29, 17, 0.0018
29, 18, 0.0003
29, 19, 0.0005
29, 20, 0.0002
29, 21, 0.0004
29, 22, 0.0007
29, 23, 0.0007
29, 24, 0.0
29, 25, 0.0775
29, 26, 0.2545
29, 27, 0.0716
29, 28, 0.291
29, 29, 1.0
30, 0, 0.0111
30, 1, 0.019
30, 2, 0.0183
30, 3, 0.012
30, 4, 0.0382
30, 5, 0.113
30, 6, 0.0351
30, 7, 0.0134
30, 8, 0.0106
30, 9, 0.095
30, 10, 0.0249
30, 11, 0.0579
30, 12, 0.1971
30, 13, 0.0556
30, 14, 0.0206
30, 15, 0.0192
30, 16, 0.0011
30, 17, 0.0047
30, 18, 0.0023
30, 19, 0.0008
30, 20, 0.0007
30, 21, 0.0019
30, 22, 0.0005
30, 23, 0.001
30, 24, 0.0002
30, 25, 0.0273
30, 26, 0.0769
30, 27, 0.2553
30, 28, 0.1178
30, 29, 0.301
30, 30, 1.0
31, 0, 0.0895
31, 1, 0.0984
31, 2, 0.225
31, 3, 0.3035
31, 4, 0.1909
31, 5, 0.0557
31, 6, 0.0214
31, 7, 0.02
31, 8, 0.0076
31, 9, 0.0426
31, 10, 0.053
31, 11, 0.0357
31, 12, 0.0103
31, 13, 0.0051
31, 14, 0.0033
31, 15, 0.0007
31, 16, 0.0
31, 17, 0.0006
31, 18, 0.0002
31, 19, 0.0
31, 20, 0.0
31, 21, 0.0001
31, 22, 0.0
31, 23, 0.0
31, 24, 0.0
31, 25, 0.0552
31, 26, 0.1094
31, 27, 0.0358
31, 28, 0.0346
31, 29, 0.0033
31, 30, 0.0008
31, 31, 1.0
32, 0, 0.0512
32, 1, 0.0912
32, 2, 0.0455
32, 3, 0.0586
32, 4, 0.0328
32, 5, 0.0122
32, 6, 0.005
32, 7, 0.0033
32, 8, 0.0011
32, 9, 0.2308
32, 10, 0.3003
32, 11, 0.1828
32, 12, 0.057
32, 13, 0.0195
32, 14, 0.0175
32, 15, 0.0062
32, 16, 0.0012
32, 17, 0.001
32, 18, 0.0003
32, 19, 0.0001
32, 20, 0.0002
32, 21, 0.0003
32, 22, 0.0
32, 23, 0.0
32, 24, 0.0002
32, 25, 0.0343
32, 26, 0.0041
32, 27, 0.0005
32, 28, 0.0626
32, 29, 0.1088
32, 30, 0.035
32, 31, 0.1906
32, 32, 1.0
33, 0, 0.0007
33, 1, 0.0001
33, 2, 0.0
33, 3, 0.0008
33, 4, 0.0007
33, 5, 0.0001
33, 6, 0.0001
33, 7, 0.0
33, 8, 0.0
33, 9, 0.0026
33, 10, 0.0034
33, 11, 0.0069
33, 12, 0.007
33, 13, 0.002
33, 14, 0.0016
33, 15, 0.0009
33, 16, 0.0586
33, 17, 0.1915
33, 18, 0.0543
33, 19, 0.0201
33, 20, 0.0198
33, 21, 0.0032
33, 22, 0.0011
33, 23, 0.0015
33, 24, 0.0002
33, 25, 0.0
33, 26, 0.0002
33, 27, 0.0002
33, 28, 0.001
33, 29, 0.0028
33, 30, 0.0076
33, 31, 0.0
33, 32, 0.0022
33, 33, 1.0
34, 0, 0.0259
34, 1, 0.0932
34, 2, 0.1004
34, 3, 0.2211
34, 4, 0.2967
34, 5, 0.1915
34, 6, 0.0553
34, 7, 0.022
34, 8, 0.0195
34, 9, 0.0177
34, 10, 0.0448
34, 11, 0.0587
34, 12, 0.0368
34, 13, 0.0093
34, 14, 0.0035
34, 15, 0.0026
34, 16, 0.0011
34, 17, 0.0
34, 18, 0.0001
34, 19, 0.0001
34, 20, 0.0001
34, 21, 0.0007
34, 22, 0.0004
