LM_ID,name,formula,pubchem_cid,smiles,smiles_rdkit,smiles_reordered
LMFA01030828,"34:4(19Z,22Z,25Z,28Z)",C34H60O2,52921804.0,C(CCCCCCCCCCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)(=O)O,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCCCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC
LMFA01030835,"34:5(19Z,22Z,25Z,28Z,31Z)",C34H58O2,14753668.0,C(CCCCCCCCCCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)(=O)O,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCCCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC
LMFA01030842,"34:6(16Z,19Z,22Z,25Z,28Z,31Z)",C34H56O2,52921817.0,C(CCCCCCCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)(=O)O,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC
LMFA01030849,"34:5(16Z,19Z,22Z,25Z,28Z)",C34H58O2,52921824.0,C(CCCCCCCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)(=O)O,CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC
LMFA01031111,25Z-Tetratriacontenoic acid,C34H66O2,92033288.0,C(CCCCCCCCCCCCCCCCCCCCCCC/C=C\CCCCCCCC)(=O)O,CCCCCCCC/C=C\CCCCCCCCCCCCCCCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCCCCCCCCCCCCCC/C=C\CCCCCCCC
LMFA01031272,,C34H62O2,171118569.0,C(CCCCCCCCCCCCCCCCCCCCC/C=C\C/C=C\C/C=C\CC)CC(=O)O,CC/C=C\C/C=C\C/C=C\CCCCCCCCCCCCCCCCCCCCCCCC(=O)O,OC(=O)CCCCCCCCCCCCCCCCCCCCCCC/C=C\C/C=C\C/C=C\CC
LMFA01031342,,C34H48O2,171117702.0,C(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)(=O)O,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC
